writer of preface|m|http://rdaregistry.info/Elements/m/P30344|http://rdaregistry.info/Elements/m/P30402|http://rdaregistry.info/Elements/m/P30431
writer of added commentary|m|http://rdaregistry.info/Elements/m/P30344|http://rdaregistry.info/Elements/m/P30402|http://rdaregistry.info/Elements/m/P30431
writer of introduction|m|http://rdaregistry.info/Elements/m/P30344|http://rdaregistry.info/Elements/m/P30402|http://rdaregistry.info/Elements/m/P30431
writer of added lyrics|m|http://rdaregistry.info/Elements/m/P30344|http://rdaregistry.info/Elements/m/P30402|http://rdaregistry.info/Elements/m/P30431
writer of afterword|m|http://rdaregistry.info/Elements/m/P30344|http://rdaregistry.info/Elements/m/P30402|http://rdaregistry.info/Elements/m/P30431
writer of postface|m|http://rdaregistry.info/Elements/m/P30344|http://rdaregistry.info/Elements/m/P30402|http://rdaregistry.info/Elements/m/P30431
writer of foreword|m|http://rdaregistry.info/Elements/m/P30344|http://rdaregistry.info/Elements/m/P30402|http://rdaregistry.info/Elements/m/P30431
contributor to aggregate|m|http://rdaregistry.info/Elements/m/P30336|http://rdaregistry.info/Elements/m/P30394|http://rdaregistry.info/Elements/m/P30423
creator of manifestation|m|http://rdaregistry.info/Elements/m/P30363|http://rdaregistry.info/Elements/m/P30421|http://rdaregistry.info/Elements/m/P30450
distributor|m|http://rdaregistry.info/Elements/m/P30359|http://rdaregistry.info/Elements/m/P30417|http://rdaregistry.info/Elements/m/P30446
engraver|m|http://rdaregistry.info/Elements/m/P30350|http://rdaregistry.info/Elements/m/P30408|http://rdaregistry.info/Elements/m/P30437
etcher|m|http://rdaregistry.info/Elements/m/P30356|http://rdaregistry.info/Elements/m/P30414|http://rdaregistry.info/Elements/m/P30443
film distributor|m|http://rdaregistry.info/Elements/m/P30348|http://rdaregistry.info/Elements/m/P30406|http://rdaregistry.info/Elements/m/P30435
lithographer|m|http://rdaregistry.info/Elements/m/P30354|http://rdaregistry.info/Elements/m/P30412|http://rdaregistry.info/Elements/m/P30441
manufacturer|m|http://rdaregistry.info/Elements/m/P30361|http://rdaregistry.info/Elements/m/P30419|http://rdaregistry.info/Elements/m/P30448
papermaker|m|http://rdaregistry.info/Elements/m/P30364|http://rdaregistry.info/Elements/m/P30422|http://rdaregistry.info/Elements/m/P30451
platemaker|m|http://rdaregistry.info/Elements/m/P30355|http://rdaregistry.info/Elements/m/P30413|http://rdaregistry.info/Elements/m/P30442
printer|m|http://rdaregistry.info/Elements/m/P30358|http://rdaregistry.info/Elements/m/P30416|http://rdaregistry.info/Elements/m/P30445
printmaker|m|http://rdaregistry.info/Elements/m/P30352|http://rdaregistry.info/Elements/m/P30410|http://rdaregistry.info/Elements/m/P30439
producer of unpublished manifesatation|m|http://rdaregistry.info/Elements/m/P30360|http://rdaregistry.info/Elements/m/P30418|http://rdaregistry.info/Elements/m/P30447
